,word,positive_count,negative_count,total
0,금통위,575,981,1556
1,결과,1147,1954,3101
2,금리동결,76,171,247
3,기조,644,1045,1689
4,유지,1404,2483,3887
5,이정준,34,73,107
6,조사,713,862,1575
7,자료,8167,9262,17429
8,투자자,1309,2472,3781
9,도움,171,310,481
10,될,571,989,1560
11,정보,700,1041,1741
12,제공,782,1502,2284
13,목적,404,509,913
14,작성,379,483,862
15,당사,1253,1398,2651
16,사전,173,286,459
17,동의,216,272,488
18,없이,512,721,1233
19,무단,199,230,429
20,복제,265,305,570
21,배포,282,333,615
22,없,2309,3289,5598
23,수록,200,267,467
24,내용,649,909,1558
25,신뢰,371,468,839
26,얻,309,444,753
27,정확,437,511,948
28,완전,304,367,671
29,보장,431,469,900
30,자신,337,415,752
31,판단,1542,2139,3681
32,책임,682,829,1511
33,최종,421,600,1021
34,결정,953,1620,2573
35,하,1574,2799,4373
36,바랍니다,266,303,569
37,어떠,531,574,1105
38,경우,2276,3319,5595
39,고객,852,1479,2331
40,주식,711,1242,1953
41,투자,3470,5197,8667
42,대한,3208,4977,8185
43,법,425,557,982
44,소재,378,583,961
45,증빙,300,343,643
46,사용,517,763,1280
47,한은,526,1061,1587
48,기준금리,2174,4092,6266
49,동결,433,1000,1433
50,장기,945,1255,2200
51,연속,553,1187,1740
52,현행,51,125,176
53,경기,2707,3879,6586
54,상하방,53,46,99
55,리스크,785,1167,1952
56,상존,98,123,221
57,중립,241,325,566
58,불가피,108,213,321
60,낙관,101,151,252
61,시각,157,249,406
62,만장일치,63,129,192
63,아래,102,188,290
64,통화정책,1088,1779,2867
65,방향,552,924,1476
66,알,164,245,409
67,있,7425,11939,19364
68,변화,1282,1725,3007
69,앞,478,882,1360
70,세계,608,968,1576
71,경제,3738,6526,10264
72,완만,299,402,701
73,회복세,253,422,675
74,지속,2158,3457,5615
75,전망,4840,7318,12158
76,미연준,205,283,488
77,양적완화,177,304,481
78,축소,1055,1549,2604
79,따른,1529,2480,4009
80,글로벌,1644,2550,4194
81,금융시장,503,725,1228
82,여건,494,756,1250
83,일부,654,1043,1697
84,신흥시장국,25,59,84
85,성장세,304,492,796
86,약화,521,637,1158
87,영향,2169,3065,5234
88,받,1121,2337,3458
89,가능성,2799,4497,7296
90,국내,2303,3688,5991
91,보,925,1472,2397
92,내수,284,447,731
93,관련,1478,2255,3733
94,지표,1768,2599,4367
95,개선,1384,2231,3615
96,부진,814,1281,2095
97,병존,6,9,15
98,가운데,1123,1804,2927
99,수출,1089,1697,2786
100,증가세,309,499,808
101,이,735,1340,2075
103,따라,1248,2131,3379
104,갭,218,340,558
105,당분간,289,501,790
106,마이너스,189,387,576
107,상태,228,475,703
108,폭,1305,1893,3198
109,점차,335,442,777
110,예상,3008,4656,7664
111,물가,3636,4793,8429
112,상승률,1079,1310,2389
113,농산물,90,168,258
114,작황,7,9,16
115,호조,304,449,753
116,낮,1424,2331,3755
117,수준,2393,3940,6333
118,나타내,701,745,1446
119,높,2927,4611,7538
120,하방,282,419,701
121,불구,473,633,1106
122,성장,1186,1929,3115
123,경로,361,437,798
124,실현,82,128,210
125,기대감,569,1215,1784
126,내부,57,110,167
127,크,1650,2292,3942
128,자리,79,180,259
129,잡,114,243,357
130,의미,294,522,816
131,한은총재,61,163,224
132,교체,101,92,193
133,이후,2388,4036,6424
135,상황,1932,2933,4865
136,발생,494,997,1491
137,이상,1068,2066,3134
138,현재,1444,2314,3758
139,실제,369,595,964
140,잠재,353,456,809
141,고려,765,1277,2042
142,때,1155,1888,3043
143,올해,1684,3901,5585
144,상반기,434,671,1105
145,하반기,888,1109,1997
146,인상,1840,3427,5267
147,매우,212,376,588
148,채권,2591,3657,6248
149,금리,12353,20435,32788
150,레벨,232,380,612
151,부담,1245,2061,3306
152,가중,77,156,233
153,채권시장,1149,1494,2643
154,최근,2025,3106,5131
155,주요,1337,1974,3311
156,지정학,201,367,568
157,부각,267,386,653
158,불확실성,833,1133,1966
159,상단,235,368,603
160,제한,477,733,1210
161,수급,565,828,1393
162,하향,464,601,1065
163,안정세,86,133,219
164,지지,222,411,633
165,그동안,165,269,434
166,강세,1557,2693,4250
167,재료,219,262,481
168,조정국면,15,23,38
169,진입,201,377,578
170,인하,3066,6435,9501
171,논란,73,115,188
172,수면,6,10,16
173,가라앉,4,17,21
174,아울러,294,420,714
175,면치,11,31,42
176,대내외,187,248,435
177,회복,1032,1551,2583
178,속,350,656,1006
179,추가,1320,2338,3658
180,규모,1745,2625,4370
181,일,5698,11145,16843
182,시나리오,142,161,303
183,트레이딩,52,84,136
184,아이디어,11,18,29
185,미선,122,268,390
186,윤정수,9,16,25
187,본,516,673,1189
188,또,423,917,1340
189,젂,163,167,330
190,대,467,958,1425
191,이동,122,247,369
192,점도표,69,304,373
193,중간,41,99,140
194,값,117,251,368
195,회로,21,58,79
196,변경,435,560,995
197,회의,328,709,1037
198,파월,191,718,909
199,의장,236,576,812
200,지난,1504,2939,4443
201,의회,62,116,178
202,증언,14,49,63
203,마찬가지,79,125,204
204,미,1335,2011,3346
205,대해,1302,1526,2828
206,강한,159,285,444
207,자신감,38,131,169
209,함께,539,965,1504
210,성장률,1336,2052,3388
211,후반,117,165,282
212,상향,453,672,1125
213,시장,3356,6686,10042
214,관심,442,766,1208
215,횟수,68,128,196
216,여부,306,561,867
217,주장,208,288,496
218,인사,79,130,209
219,중,2561,4668,7229
220,바뀌,71,104,175
221,된다,198,353,551
222,연준,1330,2956,4286
223,멤버,7,35,42
224,언급,1196,1180,2376
225,감안,584,944,1528
226,정도,791,954,1745
227,충분,92,201,293
228,충격,249,334,583
229,덜,107,180,287
230,주기,80,169,249
231,위해,676,1492,2168
232,전략,474,1096,1570
233,차원,94,207,301
234,대신,71,172,243
235,내년,703,894,1597
236,높일,54,83,137
237,배제,142,195,337
238,아직,483,591,1074
239,미국,6247,10136,16383
240,하회,262,529,791
241,증시,953,2084,3037
242,급락,270,518,788
243,경험,87,207,294
244,이번,809,1901,2710
245,확인,705,1057,1762
246,후,708,1398,2106
247,조정,565,1091,1656
248,베이스,29,50,79
249,상정,26,32,58
250,선반영,77,135,212
251,단기,721,1238,1959
252,안,395,769,1164
253,랠리,83,225,308
254,나타날,145,214,359
255,만약,68,117,185
256,오버슈팅,15,21,36
257,가능,675,1273,1948
258,가파른,55,112,167
259,우려,1301,2001,3302
260,주가,877,1625,2502
261,안전자산,236,337,573
262,선호,336,588,924
263,재현,8,20,28
264,매수,842,1100,1942
265,커브,177,238,415
267,구축,102,215,317
268,향후,1137,1600,2737
269,통안,609,885,1494
270,국고채,1841,2294,4135
271,내재,39,47,86
272,포워드,8,23,31
273,바탕,253,340,593
274,만기별,108,81,189
275,밸류에이션,56,160,216
276,매력도,32,59,91
277,순,113,169,282
278,통안1년,178,304,482
279,반영,1092,1648,2740
280,상승,4674,7781,12455
281,국고5년,259,285,544
282,모두,554,1035,1589
283,압력,835,1121,1956
284,가장,682,1366,2048
285,자유,67,113,180
286,싸이클,4,41,45
287,마무리,141,230,371
288,가정,167,211,378
289,여력,218,345,563
290,많,602,1112,1714
291,시점,746,1182,1928
292,통안2년,169,160,329
293,국고3년,507,726,1233
294,적정,134,244,378
295,추정,389,619,1008
296,적어도,68,87,155
298,되,590,1049,1639
299,시계,92,134,226
300,급등,512,808,1320
301,논의,219,439,658
302,구체,50,35,85
303,노출,47,131,178
304,추천,192,142,334
305,한국,1968,2426,4394
306,이란,278,672,950
307,기대,2054,3191,5245
308,빠르,338,580,918
309,확산,335,434,769
310,가파르,57,73,130
311,동반,128,260,388
312,움직였,6,29,35
313,변수,168,382,550
315,국고n년,55,62,117
316,발행계획,52,110,162
317,발표,1504,2717,4221
318,역,58,86,144
319,대부분,310,515,825
320,해소,290,476,766
321,연초,322,595,917
322,보호무역주의,34,69,103
323,국내외,228,308,536
324,하락,3642,6144,9786
325,중심,891,1339,2230
326,동안,298,481,779
327,각각,749,1432,2181
328,한편,579,905,1484
329,기재,74,91,165
330,부가,26,44,70
331,발행,2261,3213,5474
332,밝힌,58,141,199
333,역전폭,22,56,78
334,대폭,91,193,284
335,스프레드,2300,2661,4961
336,역전,123,238,361
337,트럼프,302,335,637
338,무역,220,332,552
339,제재,88,137,225
340,협상,172,249,421
341,카드,180,227,407
342,관점,214,280,494
343,바라볼,5,15,20
344,필요,1541,2097,3638
345,들,347,598,945
346,여타,124,112,236
347,만기,1510,2178,3688
348,소폭,646,897,1543
349,반등,624,972,1596
350,이주열,33,79,112
351,연임,31,20,51
352,소식,165,332,497
353,전해,25,38,63
355,점,1597,2588,4185
356,미쳤,66,140,206
357,완화,1117,1549,2666
358,코스피,289,781,1070
359,영업일,25,51,76
360,예상치,558,859,1417
361,남북,12,13,25
362,정상회담,39,27,66
363,북미,121,169,290
364,위험자산,204,258,462
365,높이,177,270,447
366,약세,1117,1999,3116
367,요인,1174,1767,2941
368,작용,620,900,1520
369,돌아서,35,39,74
370,다시,673,1173,1846
371,올라서,12,16,28
372,된,71,136,207
373,큰,1119,1783,2902
374,계기,58,109,167
375,정책,1504,2338,3842
376,대통령,308,498,806
377,재협상,11,15,26
378,조건,180,411,591
379,캐나다,222,267,489
380,멕시코,423,343,766
381,철강,111,227,338
382,알루미늄,7,38,45
383,관세,52,124,176
384,면제,53,129,182
385,밝혔,862,1859,2721
386,결국,279,421,700
387,인식,332,397,729
388,시작,624,1023,1647
389,당초,157,224,381
392,초반,208,370,578
393,불러,4,17,21
394,방식,280,381,661
395,반도체,488,1045,1533
396,주력,65,108,173
397,수출품,6,17,23
399,직접,221,385,606
400,타격,35,80,115
401,대미,39,43,82
402,흑자,133,151,284
403,과거,535,800,1335
404,감소,1283,1786,3069
405,선진국,493,694,1187
406,신흥국,470,737,1207
407,국면,234,297,531
408,전체,625,943,1568
409,파이,8,29,37
410,커진,68,160,228
411,환경,339,643,982
412,기억,9,25,34
413,입장,342,616,958
414,대규모,306,458,764
415,적자,217,343,560
416,업종,271,471,742
418,수입,360,473,833
419,늘리,97,203,300
420,통해,923,1905,2828
421,피할,22,23,45
422,옵션,25,81,106
423,존재,222,222,444
424,그림,3530,3651,7181
425,변동,1052,1268,2320
426,배경,246,403,649
427,추세,485,669,1154
428,제거,27,53,80
429,작년,542,1280,1822
430,동조,52,85,137
431,강화,767,1258,2025
432,국고,1261,1805,3066
433,입찰,257,408,665
434,경계,108,167,275
435,국고10년,366,411,777
436,대비,3349,5721,9070
437,좌,1122,872,1994
438,우,1573,1662,3235
439,민평,816,1060,1876
440,하나금융투자,1298,1712,3010
441,인포맥스,473,631,1104
442,영향력,114,163,277
443,점검,400,543,943
444,돌아설,14,30,44
445,상향조정,213,304,517
446,전망치,357,722,1079
447,집중,280,480,760
448,전방위,7,18,25
449,임금,423,722,1145
450,단계,183,311,494
451,표,610,788,1398
452,연도,47,47,94
453,말,1343,2987,4330
454,망,53,37,90
455,자산,1110,1589,2699
456,반락,47,54,101
457,내년도,45,92,137
459,키,43,32,75
460,상회,375,590,965
462,해당,324,681,1005
463,추이,1320,1245,2565
464,하향조정,258,436,694
465,나오,259,534,793
466,투표,52,154,206
467,블룸버그,69,131,200
468,성향,110,116,226
469,분석,1023,1936,2959
470,참가,8,27,35
471,발언,498,777,1275
472,평가,1358,2103,3461
473,비,444,686,1130
474,중도,36,96,132
475,개인,631,1345,1976
477,더들리,15,26,41
478,부의장,17,20,37
479,뉴욕,362,623,985
480,여,8,14,22
481,계속,506,825,1331
482,뜻,65,127,192
483,매파,153,387,540
484,바킨,27,16,43
485,총재,371,739,1110
486,리치몬드,15,12,27
487,보스틱,15,85,100
488,애틀랜타,16,51,67
489,어떻게,176,221,397
490,움직이,99,189,288
491,기다리,40,78,118
492,관찰,41,82,123
493,테이블,27,30,57
495,비둘기파,78,109,187
496,브레,6,11,17
497,이너드,6,13,19
498,달성,191,391,582
499,자,7,11,18
500,가지,70,163,233
501,견조,222,284,506
502,적,187,303,490
503,메스터,26,17,43
505,확장세,19,32,51
506,고용시장,116,235,351
508,인플레이션,1010,1935,2945
509,수년,20,40,60
511,주식시장,252,398,650
512,펀더멘털,152,231,383
513,튼튼,5,14,19
514,좋,294,568,862
515,윌리엄스,18,40,58
517,실업률,261,484,745
518,떨어질,44,68,112
519,옐런,135,133,268
520,제외,575,925,1500
521,불라드,12,8,20
522,세인트루이스,11,17,28
523,보유자산,20,55,75
524,강도,112,146,258
525,점점,46,61,107
526,강해,28,52,80
528,위험,514,809,1323
530,시카고,42,33,75
531,조금,77,183,260
532,더,1297,2292,3589
533,목표치,112,317,429
534,이어지,343,597,940
535,그리,62,75,137
536,봄,21,44,65
537,조지,8,14,22
538,캔자스시티,7,16,23
539,상방,95,107,202
540,현저,15,8,23
541,연내,254,444,698
542,오를,71,190,261
543,렌,1,22,23
544,보스턴,8,32,40
545,완화정책,54,129,183
546,흐름,1364,1687,3051
547,나머지,88,143,231
548,지역,588,1285,1873
549,연은,71,118,189
550,캐,7,25,32
551,댈러스,8,19,27
553,도달,97,200,297
554,넘어섰,64,118,182
555,너무,121,160,281
556,늦,73,124,197
557,올리,57,150,207
558,빨리,73,100,173
559,기본,180,276,456
560,올려야,5,24,29
562,카리,60,11,71
563,미니애폴리스,37,8,45
565,커,80,140,220
