,범례명,기준금리
1,2014-01-01,2.5
2,2014-01-02,2.5
3,2014-01-03,2.5
4,2014-01-04,2.5
5,2014-01-05,2.5
6,2014-01-06,2.5
7,2014-01-07,2.5
8,2014-01-08,2.5
9,2014-01-09,2.5
10,2014-01-10,2.5
11,2014-01-11,2.5
12,2014-01-12,2.5
13,2014-01-13,2.5
14,2014-01-14,2.5
15,2014-01-15,2.5
16,2014-01-16,2.5
17,2014-01-17,2.5
18,2014-01-18,2.5
19,2014-01-19,2.5
20,2014-01-20,2.5
21,2014-01-21,2.5
22,2014-01-22,2.5
23,2014-01-23,2.5
24,2014-01-24,2.5
25,2014-01-25,2.5
26,2014-01-26,2.5
27,2014-01-27,2.5
28,2014-01-28,2.5
29,2014-01-29,2.5
30,2014-01-30,2.5
31,2014-01-31,2.5
32,2014-02-01,2.5
33,2014-02-02,2.5
34,2014-02-03,2.5
35,2014-02-04,2.5
36,2014-02-05,2.5
37,2014-02-06,2.5
38,2014-02-07,2.5
39,2014-02-08,2.5
40,2014-02-09,2.5
41,2014-02-10,2.5
42,2014-02-11,2.5
43,2014-02-12,2.5
44,2014-02-13,2.5
45,2014-02-14,2.5
46,2014-02-15,2.5
47,2014-02-16,2.5
48,2014-02-17,2.5
49,2014-02-18,2.5
50,2014-02-19,2.5
51,2014-02-20,2.5
52,2014-02-21,2.5
53,2014-02-22,2.5
54,2014-02-23,2.5
55,2014-02-24,2.5
56,2014-02-25,2.5
57,2014-02-26,2.5
58,2014-02-27,2.5
59,2014-02-28,2.5
60,2014-03-01,2.5
61,2014-03-02,2.5
62,2014-03-03,2.5
63,2014-03-04,2.5
64,2014-03-05,2.5
65,2014-03-06,2.5
66,2014-03-07,2.5
67,2014-03-08,2.5
68,2014-03-09,2.5
69,2014-03-10,2.5
70,2014-03-11,2.5
71,2014-03-12,2.5
72,2014-03-13,2.5
73,2014-03-14,2.5
74,2014-03-15,2.5
75,2014-03-16,2.5
76,2014-03-17,2.5
77,2014-03-18,2.5
78,2014-03-19,2.5
79,2014-03-20,2.5
80,2014-03-21,2.5
81,2014-03-22,2.5
82,2014-03-23,2.5
83,2014-03-24,2.5
84,2014-03-25,2.5
85,2014-03-26,2.5
86,2014-03-27,2.5
87,2014-03-28,2.5
88,2014-03-29,2.5
89,2014-03-30,2.5
90,2014-03-31,2.5
91,2014-04-01,2.5
92,2014-04-02,2.5
93,2014-04-03,2.5
94,2014-04-04,2.5
95,2014-04-05,2.5
96,2014-04-06,2.5
97,2014-04-07,2.5
98,2014-04-08,2.5
99,2014-04-09,2.5
100,2014-04-10,2.5
101,2014-04-11,2.5
102,2014-04-12,2.5
103,2014-04-13,2.5
104,2014-04-14,2.5
105,2014-04-15,2.5
106,2014-04-16,2.5
107,2014-04-17,2.5
108,2014-04-18,2.5
109,2014-04-19,2.5
110,2014-04-20,2.5
111,2014-04-21,2.5
112,2014-04-22,2.5
113,2014-04-23,2.5
114,2014-04-24,2.5
115,2014-04-25,2.5
116,2014-04-26,2.5
117,2014-04-27,2.5
118,2014-04-28,2.5
119,2014-04-29,2.5
120,2014-04-30,2.5
121,2014-05-01,2.5
122,2014-05-02,2.5
123,2014-05-03,2.5
124,2014-05-04,2.5
125,2014-05-05,2.5
126,2014-05-06,2.5
127,2014-05-07,2.5
128,2014-05-08,2.5
129,2014-05-09,2.5
130,2014-05-10,2.5
131,2014-05-11,2.5
132,2014-05-12,2.5
133,2014-05-13,2.5
134,2014-05-14,2.5
135,2014-05-15,2.5
136,2014-05-16,2.5
137,2014-05-17,2.5
138,2014-05-18,2.5
139,2014-05-19,2.5
140,2014-05-20,2.5
141,2014-05-21,2.5
142,2014-05-22,2.5
143,2014-05-23,2.5
144,2014-05-24,2.5
145,2014-05-25,2.5
146,2014-05-26,2.5
147,2014-05-27,2.5
148,2014-05-28,2.5
149,2014-05-29,2.5
150,2014-05-30,2.5
151,2014-05-31,2.5
152,2014-06-01,2.5
153,2014-06-02,2.5
154,2014-06-03,2.5
155,2014-06-04,2.5
156,2014-06-05,2.5
157,2014-06-06,2.5
158,2014-06-07,2.5
159,2014-06-08,2.5
160,2014-06-09,2.5
161,2014-06-10,2.5
162,2014-06-11,2.5
163,2014-06-12,2.5
164,2014-06-13,2.5
165,2014-06-14,2.5
166,2014-06-15,2.5
167,2014-06-16,2.5
168,2014-06-17,2.5
169,2014-06-18,2.5
170,2014-06-19,2.5
171,2014-06-20,2.5
172,2014-06-21,2.5
173,2014-06-22,2.5
174,2014-06-23,2.5
175,2014-06-24,2.5
176,2014-06-25,2.5
177,2014-06-26,2.5
178,2014-06-27,2.5
179,2014-06-28,2.5
180,2014-06-29,2.5
181,2014-06-30,2.5
182,2014-07-01,2.5
183,2014-07-02,2.5
184,2014-07-03,2.5
185,2014-07-04,2.5
186,2014-07-05,2.5
187,2014-07-06,2.5
188,2014-07-07,2.5
189,2014-07-08,2.5
190,2014-07-09,2.5
191,2014-07-10,2.5
192,2014-07-11,2.5
193,2014-07-12,2.5
194,2014-07-13,2.5
195,2014-07-14,2.5
196,2014-07-15,2.5
197,2014-07-16,2.5
198,2014-07-17,2.5
199,2014-07-18,2.5
200,2014-07-19,2.5
201,2014-07-20,2.5
202,2014-07-21,2.5
203,2014-07-22,2.5
204,2014-07-23,2.5
205,2014-07-24,2.5
206,2014-07-25,2.5
207,2014-07-26,2.5
208,2014-07-27,2.5
209,2014-07-28,2.5
210,2014-07-29,2.5
211,2014-07-30,2.5
212,2014-07-31,2.5
213,2014-08-01,2.5
214,2014-08-02,2.5
215,2014-08-03,2.5
216,2014-08-04,2.5
217,2014-08-05,2.5
218,2014-08-06,2.5
219,2014-08-07,2.5
220,2014-08-08,2.5
221,2014-08-09,2.5
222,2014-08-10,2.5
223,2014-08-11,2.5
224,2014-08-12,2.5
225,2014-08-13,2.5
226,2014-08-14,2.25
227,2014-08-15,2.25
228,2014-08-16,2.25
229,2014-08-17,2.25
230,2014-08-18,2.25
231,2014-08-19,2.25
232,2014-08-20,2.25
233,2014-08-21,2.25
234,2014-08-22,2.25
235,2014-08-23,2.25
236,2014-08-24,2.25
237,2014-08-25,2.25
238,2014-08-26,2.25
239,2014-08-27,2.25
240,2014-08-28,2.25
241,2014-08-29,2.25
242,2014-08-30,2.25
243,2014-08-31,2.25
244,2014-09-01,2.25
245,2014-09-02,2.25
246,2014-09-03,2.25
247,2014-09-04,2.25
248,2014-09-05,2.25
249,2014-09-06,2.25
250,2014-09-07,2.25
251,2014-09-08,2.25
252,2014-09-09,2.25
253,2014-09-10,2.25
254,2014-09-11,2.25
255,2014-09-12,2.25
256,2014-09-13,2.25
257,2014-09-14,2.25
258,2014-09-15,2.25
259,2014-09-16,2.25
260,2014-09-17,2.25
261,2014-09-18,2.25
262,2014-09-19,2.25
