,날짜,종가,한달 전 날짜
0,2024-06-17,3.5,2024-05-17
1,2024-06-14,3.5,2024-05-14
2,2024-06-13,3.53,2024-05-13
3,2024-06-12,3.55,2024-05-12
4,2024-06-11,3.59,2024-05-11
5,2024-06-10,3.59,2024-05-10
6,2024-06-07,3.58,2024-05-07
7,2024-06-05,3.5,2024-05-05
8,2024-06-04,3.48,2024-05-04
9,2024-06-03,3.53,2024-05-03
10,2024-05-31,3.58,2024-04-30
11,2024-05-30,3.52,2024-04-30
12,2024-05-29,3.52,2024-04-29
13,2024-05-28,3.52,2024-04-28
14,2024-05-27,3.55,2024-04-27
15,2024-05-24,3.56,2024-04-24
16,2024-05-23,3.55,2024-04-23
17,2024-05-22,3.53,2024-04-22
18,2024-05-21,3.53,2024-04-21
19,2024-05-20,3.53,2024-04-20
20,2024-05-17,3.53,2024-04-17
21,2024-05-16,3.54,2024-04-16
22,2024-05-14,3.56,2024-04-14
23,2024-05-13,3.57,2024-04-13
24,2024-05-10,3.54,2024-04-10
25,2024-05-09,3.5,2024-04-09
26,2024-05-08,3.48,2024-04-08
27,2024-05-07,3.5,2024-04-07
28,2024-05-03,3.47,2024-04-03
29,2024-05-02,3.48,2024-04-02
30,2024-04-30,3.65,2024-03-30
31,2024-04-29,3.57,2024-03-29
32,2024-04-26,3.58,2024-03-26
33,2024-04-25,3.56,2024-03-25
34,2024-04-24,3.51,2024-03-24
35,2024-04-23,3.53,2024-03-23
36,2024-04-22,3.53,2024-03-22
37,2024-04-19,3.51,2024-03-19
38,2024-04-18,3.51,2024-03-18
39,2024-04-17,3.48,2024-03-17
40,2024-04-16,3.42,2024-03-16
41,2024-04-15,3.49,2024-03-15
42,2024-04-12,3.5,2024-03-12
43,2024-04-11,3.5,2024-03-11
44,2024-04-09,3.46,2024-03-09
45,2024-04-08,3.54,2024-03-08
46,2024-04-05,3.52,2024-03-05
47,2024-04-04,3.49,2024-03-04
48,2024-04-03,3.44,2024-03-03
49,2024-04-02,3.47,2024-03-02
50,2024-04-01,3.5,2024-03-01
51,2024-03-29,3.57,2024-02-29
52,2024-03-28,3.5,2024-02-28
53,2024-03-27,3.44,2024-02-27
54,2024-03-26,3.47,2024-02-26
55,2024-03-25,3.48,2024-02-25
56,2024-03-22,3.46,2024-02-22
57,2024-03-21,3.52,2024-02-21
58,2024-03-20,3.53,2024-02-20
59,2024-03-19,3.51,2024-02-19
60,2024-03-18,3.44,2024-02-18
61,2024-03-15,3.46,2024-02-15
62,2024-03-14,3.48,2024-02-14
63,2024-03-13,3.47,2024-02-13
64,2024-03-12,3.42,2024-02-12
65,2024-03-11,3.4,2024-02-11
66,2024-03-08,3.54,2024-02-08
67,2024-03-07,3.37,2024-02-07
68,2024-03-06,3.47,2024-02-06
69,2024-03-05,3.23,2024-02-05
70,2024-03-04,3.36,2024-02-04
71,2024-02-29,3.46,2024-01-29
72,2024-02-28,3.4,2024-01-28
73,2024-02-27,3.46,2024-01-27
74,2024-02-26,3.56,2024-01-26
75,2024-02-23,3.67,2024-01-23
76,2024-02-22,3.65,2024-01-22
77,2024-02-21,3.62,2024-01-21
78,2024-02-20,3.59,2024-01-20
79,2024-02-19,3.63,2024-01-19
80,2024-02-16,3.66,2024-01-16
81,2024-02-15,3.68,2024-01-15
82,2024-02-14,3.64,2024-01-14
83,2024-02-13,3.62,2024-01-13
84,2024-02-08,3.6,2024-01-08
85,2024-02-07,3.51,2024-01-07
86,2024-02-06,3.57,2024-01-06
87,2024-02-05,3.57,2024-01-05
88,2024-02-02,3.54,2024-01-02
89,2024-02-01,3.57,2024-01-01
90,2024-01-31,3.61,2023-12-31
91,2024-01-30,3.54,2023-12-30
92,2024-01-29,3.48,2023-12-29
93,2024-01-26,3.5,2023-12-26
94,2024-01-25,3.46,2023-12-25
95,2024-01-24,3.44,2023-12-24
96,2024-01-23,3.47,2023-12-23
97,2024-01-22,3.52,2023-12-22
98,2024-01-19,3.52,2023-12-19
99,2024-01-18,3.5,2023-12-18
100,2024-01-17,3.49,2023-12-17
101,2024-01-16,3.49,2023-12-16
102,2024-01-15,3.47,2023-12-15
103,2024-01-12,3.43,2023-12-12
104,2024-01-11,3.39,2023-12-11
105,2024-01-10,3.5,2023-12-10
106,2024-01-09,3.41,2023-12-09
107,2024-01-08,3.37,2023-12-08
108,2024-01-05,3.38,2023-12-05
109,2024-01-04,3.39,2023-12-04
110,2024-01-03,3.42,2023-12-03
111,2024-01-02,3.53,2023-12-02
112,2023-12-29,3.9,2023-11-29
113,2023-12-28,3.6,2023-11-28
114,2023-12-27,3.55,2023-11-27
115,2023-12-26,3.63,2023-11-26
116,2023-12-22,3.63,2023-11-22
117,2023-12-21,3.62,2023-11-21
118,2023-12-20,3.68,2023-11-20
119,2023-12-19,3.71,2023-11-19
120,2023-12-18,3.69,2023-11-18
121,2023-12-15,3.64,2023-11-15
122,2023-12-14,3.67,2023-11-14
123,2023-12-13,3.65,2023-11-13
124,2023-12-12,3.68,2023-11-12
125,2023-12-11,3.71,2023-11-11
126,2023-12-08,3.68,2023-11-08
127,2023-12-07,3.61,2023-11-07
128,2023-12-06,3.51,2023-11-06
129,2023-12-05,3.54,2023-11-05
130,2023-12-04,3.55,2023-11-04
131,2023-12-01,3.55,2023-11-01
132,2023-11-30,3.67,2023-10-30
133,2023-11-29,3.59,2023-10-29
134,2023-11-28,3.58,2023-10-28
135,2023-11-27,3.6,2023-10-27
136,2023-11-24,3.6,2023-10-24
137,2023-11-23,3.59,2023-10-23
138,2023-11-22,3.62,2023-10-22
139,2023-11-21,3.58,2023-10-21
140,2023-11-20,3.59,2023-10-20
141,2023-11-17,3.6,2023-10-17
142,2023-11-16,3.58,2023-10-16
143,2023-11-15,3.57,2023-10-15
144,2023-11-14,3.57,2023-10-14
145,2023-11-13,3.57,2023-10-13
146,2023-11-10,3.59,2023-10-10
147,2023-11-09,3.56,2023-10-09
148,2023-11-08,3.48,2023-10-08
149,2023-11-07,3.46,2023-10-07
150,2023-11-06,3.52,2023-10-06
151,2023-11-03,3.52,2023-10-03
152,2023-11-02,3.49,2023-10-02
153,2023-11-01,3.51,2023-10-01
154,2023-10-31,3.5,2023-09-30
155,2023-10-30,3.51,2023-09-30
156,2023-10-27,3.49,2023-09-27
157,2023-10-26,3.55,2023-09-26
158,2023-10-25,3.56,2023-09-25
159,2023-10-24,3.53,2023-09-24
160,2023-10-23,3.53,2023-09-23
161,2023-10-20,3.52,2023-09-20
162,2023-10-19,3.5,2023-09-19
163,2023-10-18,3.49,2023-09-18
164,2023-10-17,3.49,2023-09-17
165,2023-10-16,3.51,2023-09-16
166,2023-10-13,3.54,2023-09-13
167,2023-10-12,3.51,2023-09-12
168,2023-10-11,3.47,2023-09-11
169,2023-10-10,3.47,2023-09-10
170,2023-10-06,3.5,2023-09-06
171,2023-10-05,3.52,2023-09-05
172,2023-10-04,3.55,2023-09-04
173,2023-09-27,3.82,2023-08-27
174,2023-09-26,3.62,2023-08-26
175,2023-09-25,3.63,2023-08-25
176,2023-09-22,3.61,2023-08-22
177,2023-09-21,3.59,2023-08-21
178,2023-09-20,3.61,2023-08-20
179,2023-09-19,3.6,2023-08-19
180,2023-09-18,3.58,2023-08-18
181,2023-09-15,3.58,2023-08-15
182,2023-09-14,3.58,2023-08-14
183,2023-09-13,3.59,2023-08-13
184,2023-09-12,3.59,2023-08-12
185,2023-09-11,3.6,2023-08-11
186,2023-09-08,3.59,2023-08-08
187,2023-09-07,3.54,2023-08-07
188,2023-09-06,3.49,2023-08-06
189,2023-09-05,3.51,2023-08-05
190,2023-09-04,3.54,2023-08-04
191,2023-09-01,3.56,2023-08-01
192,2023-08-31,3.62,2023-07-31
193,2023-08-30,3.57,2023-07-30
194,2023-08-29,3.56,2023-07-29
195,2023-08-28,3.56,2023-07-28
196,2023-08-25,3.56,2023-07-25
197,2023-08-24,3.57,2023-07-24
198,2023-08-23,3.56,2023-07-23
199,2023-08-22,3.54,2023-07-22
200,2023-08-21,3.54,2023-07-21
201,2023-08-18,3.54,2023-07-18
202,2023-08-17,3.55,2023-07-17
203,2023-08-16,3.56,2023-07-16
204,2023-08-14,3.58,2023-07-14
205,2023-08-11,3.57,2023-07-11
206,2023-08-10,3.59,2023-07-10
207,2023-08-09,3.48,2023-07-09
208,2023-08-08,3.48,2023-07-08
209,2023-08-07,3.53,2023-07-07
210,2023-08-04,3.5,2023-07-04
211,2023-08-03,3.45,2023-07-03
212,2023-08-02,3.43,2023-07-02
213,2023-08-01,3.45,2023-07-01
214,2023-07-31,3.48,2023-06-30
215,2023-07-28,3.46,2023-06-28
216,2023-07-27,3.44,2023-06-27
217,2023-07-26,3.48,2023-06-26
218,2023-07-25,3.49,2023-06-25
219,2023-07-24,3.49,2023-06-24
220,2023-07-21,3.48,2023-06-21
221,2023-07-20,3.52,2023-06-20
222,2023-07-19,3.5,2023-06-19
223,2023-07-18,3.51,2023-06-18
224,2023-07-17,3.5,2023-06-17
225,2023-07-14,3.5,2023-06-14
226,2023-07-13,3.51,2023-06-13
227,2023-07-12,3.52,2023-06-12
228,2023-07-11,3.55,2023-06-11
229,2023-07-10,3.58,2023-06-10
230,2023-07-07,3.58,2023-06-07
231,2023-07-06,3.54,2023-06-06
232,2023-07-05,3.48,2023-06-05
233,2023-07-04,3.45,2023-06-04
234,2023-07-03,3.49,2023-06-03
235,2023-06-30,3.76,2023-05-30
236,2023-06-29,3.53,2023-05-29
237,2023-06-28,3.53,2023-05-28
238,2023-06-27,3.52,2023-05-27
239,2023-06-26,3.55,2023-05-26
240,2023-06-23,3.61,2023-05-23
241,2023-06-22,3.57,2023-05-22
242,2023-06-21,3.6,2023-05-21
243,2023-06-20,3.59,2023-05-20
244,2023-06-19,3.6,2023-05-19
245,2023-06-16,3.59,2023-05-16
246,2023-06-15,3.58,2023-05-15
247,2023-06-14,3.53,2023-05-14
248,2023-06-13,3.53,2023-05-13
249,2023-06-12,3.56,2023-05-12
250,2023-06-09,3.56,2023-05-09
251,2023-06-08,3.56,2023-05-08
252,2023-06-07,3.49,2023-05-07
253,2023-06-05,3.48,2023-05-05
254,2023-06-02,3.5,2023-05-02
255,2023-06-01,3.55,2023-05-01
256,2023-05-31,3.54,2023-04-30
257,2023-05-30,3.53,2023-04-30
258,2023-05-26,3.55,2023-04-26
259,2023-05-25,3.6,2023-04-25
260,2023-05-24,3.55,2023-04-24
261,2023-05-23,3.55,2023-04-23
262,2023-05-22,3.58,2023-04-22
263,2023-05-19,3.6,2023-04-19
264,2023-05-18,3.62,2023-04-18
265,2023-05-17,3.6,2023-04-17
266,2023-05-16,3.59,2023-04-16
267,2023-05-15,3.58,2023-04-15
268,2023-05-12,3.54,2023-04-12
269,2023-05-11,3.55,2023-04-11
270,2023-05-10,3.56,2023-04-10
271,2023-05-09,3.65,2023-04-09
272,2023-05-08,3.59,2023-04-08
273,2023-05-04,3.52,2023-04-04
274,2023-05-03,3.54,2023-04-03
275,2023-05-02,3.51,2023-04-02
276,2023-04-28,3.54,2023-03-28
277,2023-04-27,3.48,2023-03-27
278,2023-04-26,3.49,2023-03-26
279,2023-04-25,3.51,2023-03-25
280,2023-04-24,3.5,2023-03-24
281,2023-04-21,3.51,2023-03-21
282,2023-04-20,3.48,2023-03-20
283,2023-04-19,3.42,2023-03-19
284,2023-04-18,3.46,2023-03-18
285,2023-04-17,3.47,2023-03-17
286,2023-04-14,3.49,2023-03-14
287,2023-04-13,3.43,2023-03-13
288,2023-04-12,3.43,2023-03-12
289,2023-04-11,3.45,2023-03-11
