words,count_up,count_down,total,polarity_score
증감액/NNG,20.0,42.0,62.0,0.659432725640426
무역/NNG;흑자/NNG,10.0,24.0,34.0,0.5770036349353728
소유자/NNG,11.0,27.0,38.0,0.5641813319368089
전무/NNG,24.0,50.0,74.0,0.6647081874455493
순차입금/NNG,13.0,31.0,44.0,0.5807262390317299
하락/NNG;되돌/VV,9.0,17.0,26.0,0.7331340302708266
액티브/NNG,140.0,364.0,504.0,0.532618739940344
기타공공기관/NNG,4.0,18.0,22.0,0.30773527196553213
공공/NNG,211.0,381.0,592.0,0.7669150675361489
전망/NNG;인하/NNG,6.0,22.0,28.0,0.37767510650315306
전망/NNG;강화/NNG,7.0,26.0,33.0,0.3728331179582408
담보부/NNG,22.0,45.0,67.0,0.6770175983241706
신율/NNG,1.0,57.0,58.0,0.024294889892015694
리시브/NNG,6.0,12.0,18.0,0.6924043619224473
은행지주회사/NNG,8.0,24.0,32.0,0.4616029079482982
주채권은행/NNG,12.0,28.0,40.0,0.5934894530763833
하락시/NNG,41.0,93.0,134.0,0.6105070718025879
분양률/NNG,10.0,19.0,29.0,0.7288466967604708
자연스레/MAG,4.0,25.0,29.0,0.22156939581518312
로보틱스/NNG,27.0,61.0,88.0,0.6129481236690516
트래블/NNG,22.0,48.0,70.0,0.63470399842891
극도/NNG,14.0,49.0,63.0,0.3956596353842555
무조건/MAG,16.0,31.0,47.0,0.7147399865005907
가격/NNG;상승/NNG,59.0,109.0,168.0,0.7495753642830163
온스/NNG,22.0,71.0,93.0,0.42909566090968565
산마/NNG,7.0,16.0,23.0,0.6058538166821413
재무상태표/NNG,8.0,15.0,23.0,0.7385646527172772
교보/NNG,14.0,35.0,49.0,0.5539234895379577
소셜/NNG,9.0,23.0,32.0,0.5418816745480022
후속/NNG,25.0,68.0,93.0,0.5091208543547406
사채발행/NNG,36.0,69.0,105.0,0.7225088993973363
칼럼/NNG,7.0,14.0,21.0,0.6924043619224471
채권시장/NNG;금리/NNG;인하/NNG,22.0,54.0,76.0,0.5641813319368089
펀더멘털/NNG;악화/NNG,6.0,12.0,18.0,0.6924043619224473
하락/NNG;금리/NNG;상승/NNG,6.0,11.0,17.0,0.7553502130063061
생겨나/VV,6.0,11.0,17.0,0.7553502130063061
잔여/NNG,20.0,58.0,78.0,0.47752024960168776
니스/NNG,7.0,25.0,32.0,0.38774644267657044
진퇴양난/NNG,6.0,18.0,24.0,0.4616029079482981
격인/NNG,7.0,15.0,22.0,0.6462440711276174
수자원/NNG,7.0,15.0,22.0,0.6462440711276174
긴축정책/NNG,43.0,79.0,122.0,0.7537566471560817
심리/NNG;회복/NNG,11.0,23.0,34.0,0.6622998244475583
원활히/MAG,16.0,29.0,45.0,0.7640323993627005
고통/NNG,32.0,63.0,95.0,0.7033949073497877
금리선물/NNG,93.0,176.0,269.0,0.731745518849859
시니어/NNG,19.0,52.0,71.0,0.5059878029433268
하방/NNG;압력/NNG,14.0,38.0,52.0,0.5101926877323295
정작/NNG,5.0,15.0,20.0,0.4616029079482982
알리/NNG,4.0,27.0,31.0,0.2051568479770214
공장/NNG,157.0,289.0,446.0,0.7523009330230049
이더리움/NNG,42.0,127.0,169.0,0.4579682393817761
암호화폐/NNG,22.0,54.0,76.0,0.5641813319368089
청약/NNG,120.0,248.0,368.0,0.6700687373443037
요율/NNG,6.0,30.0,36.0,0.2769617447689789
간편/NNG,20.0,55.0,75.0,0.5035668086708707
반감기/NNG,16.0,104.0,120.0,0.21304749597613762
기축통화/NNG,23.0,48.0,71.0,0.6635541801756787
무장/NNG,7.0,15.0,22.0,0.6462440711276174
병합/NNG,7.0,14.0,21.0,0.6924043619224471
전당/NNG,10.0,21.0,31.0,0.659432725640426
시장점유율/NNG,39.0,95.0,134.0,0.5685004234731672
특별참가자/NNG,1.0,17.0,18.0,0.0814593366967585
들어간/VV,23.0,49.0,72.0,0.6500122581312769
감가상각/NNG,5.0,17.0,22.0,0.4072966834837925
떠받치/VV,5.0,15.0,20.0,0.4616029079482982
상임/NNG,8.0,16.0,24.0,0.6924043619224473
관여/NNG,3.0,16.0,19.0,0.2596516357209177
지나간/VV,7.0,16.0,23.0,0.6058538166821413
물가/NNG;하방/NNG;압력/NNG,12.0,24.0,36.0,0.6924043619224473
물건/NNG,26.0,63.0,89.0,0.5715083622217025
거절/NNG,10.0,25.0,35.0,0.5539234895379578
정말로/MAG,7.0,13.0,20.0,0.7456662359164816
인내심/NNG,27.0,50.0,77.0,0.747796710876243
금의/NNG,3.0,15.0,18.0,0.2769617447689789
양극/NNG,12.0,27.0,39.0,0.6154705439310642
물가/NNG;상승률/NNG;낮/VA,10.0,20.0,30.0,0.6924043619224471
기술개발/NNG,9.0,21.0,30.0,0.5934894530763833
알아보/VV,14.0,26.0,40.0,0.7456662359164816
서천/NNG,2.0,42.0,44.0,0.0659432725640426
찬성표/NNG,5.0,13.0,18.0,0.532618739940344
개발공사/NNG,70.0,133.0,203.0,0.7288466967604708
후드/NNG,9.0,18.0,27.0,0.6924043619224473
테마/NNG,52.0,118.0,170.0,0.6102546918638518
춘계/NNG,3.0,27.0,30.0,0.15386763598276604
수입/NNG;확대/NNG,3.0,14.0,17.0,0.29674472653819167
수수께끼/NNG,11.0,21.0,32.0,0.7253759982044686
박스/NNG,6.0,32.0,38.0,0.2596516357209177
생태계/NNG,18.0,50.0,68.0,0.49853114058416204
관련주식/NNG,34.0,107.0,141.0,0.44003267860491974
영업자산/NNG,24.0,44.0,68.0,0.7553502130063061
면적/NNG,19.0,83.0,102.0,0.3170044066632891
장악/NNG,11.0,25.0,36.0,0.6093158384917536
센터/NNG,165.0,369.0,534.0,0.6192234131013756
희비/NNG,8.0,30.0,38.0,0.3692823263586386
다우존스/NNG,43.0,122.0,165.0,0.48808832069943
창업/NNG,51.0,114.0,165.0,0.6195196922464002
이익/NNG;개선/NNG,4.0,14.0,18.0,0.3956596353842556
역동/NNG,6.0,17.0,23.0,0.488756020180551
취지/NNG,60.0,118.0,178.0,0.7041400290736751
무섭/VA,3.0,14.0,17.0,0.29674472653819167
물가/NNG;둔화/NNG,36.0,74.0,110.0,0.6736907305191379
국채선물/NNG;강세/NNG,8.0,20.0,28.0,0.5539234895379578
부임/NNG,4.0,18.0,22.0,0.30773527196553213
세미나/NNG,30.0,84.0,114.0,0.49457454423031944
배럴/NNG,183.0,370.0,553.0,0.6849189093611235
자금/NNG;유출/NNG;확대/NNG,6.0,11.0,17.0,0.7553502130063061
하락/NNG;내리/VV,4.0,22.0,26.0,0.2517834043354354
개최/NNG,98.0,224.0,322.0,0.6058538166821413
영통/NNG,4.0,15.0,19.0,0.3692823263586386
순차/NNG,33.0,67.0,100.0,0.6820699684609182
임금/NNG;인상/NNG,14.0,61.0,75.0,0.3178249530135823
사외이사/NNG,11.0,32.0,43.0,0.4760279988216825
조달자금/NNG,5.0,23.0,28.0,0.3010453747488901
조작/NNG,36.0,80.0,116.0,0.6231639257302025
경기소비재/NNG,26.0,48.0,74.0,0.7501047254159846
사계/NNG,1.0,53.0,54.0,0.026128466487639522
석유공사/NNG,11.0,31.0,42.0,0.49138374071915614
구조화/NNG,21.0,54.0,75.0,0.5385367259396812
공통점/NNG,15.0,43.0,58.0,0.4830728106435679
해치/VV,8.0,15.0,23.0,0.7385646527172772
대차거래/NNG,10.0,39.0,49.0,0.3550791599602294
채권/NNG;금리/NNG;상승/NNG;압력/NNG,11.0,29.0,40.0,0.5252722745618565
골목/NNG,4.0,21.0,25.0,0.2637730902561704
고공행진/NNG,22.0,51.0,73.0,0.5973684691095624
도쿄/NNG,56.0,187.0,243.0,0.41470207772895235
글로벌/NNG;금리/NNG;인하/NNG,10.0,21.0,31.0,0.659432725640426
다연/NNG,28.0,66.0,94.0,0.5874946101160158
개발자/NNG,3.0,23.0,26.0,0.18062722484933405
각기/MAG,7.0,16.0,23.0,0.6058538166821413
한쪽/NNG,10.0,19.0,29.0,0.7288466967604708
기대/NNG;크/VV,28.0,54.0,82.0,0.7180489679195748
중계/NNG,13.0,31.0,44.0,0.5807262390317299
가격/NNG;높/VA,8.0,15.0,23.0,0.7385646527172772
초과이익/NNG,2.0,98.0,100.0,0.028261402527446827
플랫/NNG,23.0,50.0,73.0,0.6370120129686514
진흥공단/NNG,5.0,45.0,50.0,0.15386763598276604
판사/NNG,6.0,27.0,33.0,0.3077352719655321
핵보유국/NNG,7.0,17.0,24.0,0.5702153568773095
나무/NNG,3.0,20.0,23.0,0.20772130857673415
글로벌/NNG;금리/NNG;상승/NNG,13.0,32.0,45.0,0.5625785440619884
대출태도/NNG,50.0,101.0,151.0,0.6855488731905418
선도금리/NNG,12.0,27.0,39.0,0.6154705439310642
토론회/NNG,36.0,75.0,111.0,0.6647081874455493
신청/NNG,354.0,789.0,1143.0,0.6213210243866827
반작용/NNG,29.0,64.0,93.0,0.6274914529922179
실거주/NNG,10.0,21.0,31.0,0.659432725640426
스케일/NNG,8.0,20.0,28.0,0.5539234895379578
보광/NNG,6.0,12.0,18.0,0.6924043619224473
시행령/NNG,16.0,34.0,50.0,0.651674693574068
환급액/NNG,2.0,17.0,19.0,0.162918673393517
어찌/MAG,19.0,38.0,57.0,0.6924043619224473
상장폐지/NNG,10.0,19.0,29.0,0.7288466967604708
접속/NNG,9.0,17.0,26.0,0.7331340302708266
효율/NNG,75.0,136.0,211.0,0.7636812815321109
총합/NNG,7.0,16.0,23.0,0.6058538166821413
시추기/NNG,1.0,17.0,18.0,0.0814593366967585
브렌트유/NNG,15.0,41.0,56.0,0.5066373379920346
금리/NNG;인하/NNG;가능성/NNG;높/VA,9.0,48.0,57.0,0.2596516357209177
상속세/NNG,15.0,48.0,63.0,0.43275272620152955
상환금액/NNG,9.0,22.0,31.0,0.5665126597547296
무료/NNG,28.0,72.0,100.0,0.5385367259396812
튼튼/NNG,7.0,14.0,21.0,0.6924043619224471
매주/NNG,13.0,44.0,57.0,0.4091480320450825
국고채/NNG;스프레드/NNG;축소/NNG;압력/NNG,6.0,12.0,18.0,0.6924043619224473
공급계획/NNG,6.0,11.0,17.0,0.7553502130063061
국고채/NNG;금리/NNG;하락/NNG;금리/NNG;하락/NNG,2.0,25.0,27.0,0.11078469790759156
공급/NNG;감소/NNG,7.0,16.0,23.0,0.6058538166821413
멘트/NNG,8.0,18.0,26.0,0.6154705439310643
재판부/NNG,5.0,24.0,29.0,0.2885018174676864
갈아치우/VV,5.0,20.0,25.0,0.34620218096122357
일원/NNG,31.0,58.0,89.0,0.740156386882616
준정부기관/NNG,5.0,32.0,37.0,0.21637636310076475
정부대책/NNG,4.0,23.0,27.0,0.24083629979911209
달갑/VA,6.0,12.0,18.0,0.6924043619224473
스페이스/NNG,20.0,56.0,76.0,0.49457454423031944
중도상환수수료/NNG,13.0,42.0,55.0,0.4286312716662769
눈앞/NNG,20.0,40.0,60.0,0.6924043619224471
상자/NNG,28.0,52.0,80.0,0.7456662359164816
수명/NNG,3.0,16.0,19.0,0.2596516357209177
항만공사/NNG,10.0,19.0,29.0,0.7288466967604708
경제/NNG;침체/NNG,10.0,22.0,32.0,0.6294585108385884
완만/NNG;경기/NNG;회복/NNG,9.0,20.0,29.0,0.6231639257302025
양육/NNG,6.0,24.0,30.0,0.3462021809612236
직결/NNG,13.0,36.0,49.0,0.5000698169439897
장기전/NNG,7.0,18.0,25.0,0.5385367259396812
디플레이션/NNG;경기/NNG;침체/NNG,12.0,22.0,34.0,0.7553502130063061
새롭/VA;매파/NNG,7.0,15.0,22.0,0.6462440711276174
국산/NNG,7.0,28.0,35.0,0.34620218096122357
피해/NNG,145.0,301.0,446.0,0.6671005480315936
평과/NNG,4.0,16.0,20.0,0.3462021809612236
과도/NNG;우려/NNG,9.0,17.0,26.0,0.7331340302708266
관심주/NNG,1.0,22.0,23.0,0.06294585108385885
넘나들/VV,6.0,13.0,19.0,0.6391424879284128
유동성함정/NNG,9.0,30.0,39.0,0.4154426171534684
은행업/NNG,27.0,62.0,89.0,0.6030618636098733
융자/NNG,100.0,311.0,411.0,0.4452761169919275
금리/NNG;인상/NNG;가능성/NNG;높/VA,16.0,35.0,51.0,0.6330554166148089
금융상황/NNG,27.0,65.0,92.0,0.5752282391355716
당첨자/NNG,5.0,33.0,38.0,0.2098195036128628
정책/NNG;종료/NNG,9.0,27.0,36.0,0.46160290794829817
주거환경/NNG,7.0,21.0,28.0,0.4616029079482981
금리/NNG;인하/NNG,229.0,597.0,826.0,0.5311912860309561
응모/NNG,2.0,32.0,34.0,0.0865505452403059
기울이/VV,19.0,37.0,56.0,0.7111179933257565
약정/NNG,55.0,129.0,184.0,0.5904223241199162
노사/NNG,9.0,30.0,39.0,0.4154426171534684
소시/NNG,5.0,13.0,18.0,0.532618739940344
물가/NNG;상승/NNG;우려/NNG,6.0,17.0,23.0,0.488756020180551
미/NNG;금리/NNG;인하/NNG,18.0,38.0,56.0,0.6559620270844237
주선/NNG,3.0,16.0,19.0,0.2596516357209177
걸렸/VV,2.0,22.0,24.0,0.1258917021677177
예상/NNG;증가/NNG,7.0,18.0,25.0,0.5385367259396812
대서/NNG,5.0,14.0,19.0,0.49457454423031944
미일/NNG,14.0,33.0,47.0,0.5874946101160158
대형기업/NNG,8.0,19.0,27.0,0.5830773574083766
